"","...1","tournament","year","participants","event","event_name","division"
"214","dcoyuftj","mcgov",2018,16,"LD","Varsity Lincoln-Douglas","V"
"215","isalsoha","mcgov",2018,12,"PF","Junior Varsity Public Forum","JV"
"216","byhqoefc","mcgov",2018,36,"PF","Novice Public Forum","N"
"217","hpquqmrp","mcgov",2018,27,"PF","Varsity Public Forum","V"
"218","upztimgi","novice",2018,3,"LD","Lincoln Douglas","N"
"219","nlakxxyj","novice",2018,29,"PF","Public Forum","N"
"220","vmtdqlky","novice",2018,14,"PF","SFR Public Forum","N"
"221","gbdsoukq","sweet",2018,4,"LD","Novice Lincoln Douglas","N"
"222","xaxamfzx","sweet",2018,18,"LD","Varsity Lincoln Douglas","V"
"223","yvxkxozn","sweet",2018,38,"PF","Novice Public Forum","N"
"224","xnqqxmqd","sweet",2018,47,"PF","Varsity Public Forum","V"
"225","txsatnyf","novice",2018,6,"LD","Lincoln-Douglas","N"
"226","ksrukxds","novice",2018,49,"PF","Public Forum","N"
"227","vniqwwzy","novice",2018,6,"LD","Novice LD","N"
"228","zkypdwkf","novice",2018,31,"PF","Novice Public Forum","N"
"229","lqaybdeh","cfc",2018,9,"LD","Novice Lincoln-Douglas","N"
"230","lavrssmk","cfc",2018,19,"LD","Varsity Lincoln-Douglas","V"
"231","pbugfhwq","cfc",2018,9,"PF","Novice Public Forum","N"
"232","phiikelw","cfc",2018,32,"PF","Varsity Public Forum","V"
"233","fdfhpvul","silver",2018,15,"LD","Novice LD","N"
"234","pobwijuf","silver",2018,21,"LD","Varsity LD","V"
"235","nevpatwy","silver",2018,18,"PF","JV Public Forum","JV"
"236","gnngazyj","silver",2018,17,"PF","Novice Public Forum","N"
"237","ubjdaupj","silver",2018,28,"PF","Varsity Public Forum","V"
"238","mgugfwoa","bell",2017,6,"LD","Novice LD","N"
"239","lyugavpk","bell",2017,13,"LD","Varsity LD","V"
"240","efkqvuum","bell",2017,14,"PF","JV Public Forum","JV"
"241","wwcyxhgt","bell",2017,17,"PF","Novice Public Forum","N"
"242","uijhrnvd","bell",2017,18,"PF","Varsity Public Forum","V"
"243","inookwkd","cfc",2017,6,"LD","Novice Lincoln-Douglas","N"
"244","fwcrhwdi","cfc",2017,9,"LD","Varsity Lincoln-Douglas","V"
"245","cftmcapm","cfc",2017,13,"PF","Novice Public Forum","N"
"246","tvjdhdbw","cfc",2017,10,"PF","Varsity Public Forum","V"
"247","olbkrdfi","novice",2017,11,"PF","Public Forum","N"
"248","oshyomoc","novice",2017,8,"PF","Public Forum - B","N"
"249","eidxwnrr","UNOFFICIAL DAK 12 TOURNAMENT",2017,5,"LD","Lincoln-Douglas",NA
"250","gkjgsape","UNOFFICIAL DAK 12 TOURNAMENT",2017,14,"PF","Public Forum",NA
"251","pczroymn","LINCOLN COUNTY QUARREL",2017,4,"LD","LD",NA
"252","clvtzsxq","LINCOLN COUNTY QUARREL",2017,21,"PF","Cumbee Stevens November PF Topic",NA
"253","yjapfgon","LINCOLN COUNTY QUARREL",2017,14,"PF","PF",NA
"254","pykhernl","novice",2017,9,"LD","Lincoln Douglas","N"
"255","cxzuyobo","novice",2017,37,"PF","Public Forum","N"
"256","mwqmkxwc","novice",2017,11,"PF","SFR Public Forum","N"
"257","nzuipqtj","novice",2017,7,"LD","Lincoln-Douglas","N"
"258","uazeyold","novice",2017,42,"PF","Public Forum","N"
"259","cbrbhypv","sweet",2017,15,"LD","Novice Lincoln Douglas","N"
"260","xkztuakf","sweet",2017,16,"LD","Varsity Lincoln Douglas","V"
"261","dgoagqae","sweet",2017,27,"PF","Novice Public Forum","N"
"262","nmqrdfdg","sweet",2017,38,"PF","Varsity Public Forum","V"
"263","gptrdiks","novice",2017,9,"LD","Novice Lincoln Douglas Debate","N"
"264","aqlmfxcj","novice",2017,22,"PF","Novice Public Forum","N"
"265","ywejsxee","harrisburg",2017,11,"LD","Novice LD","N"
"266","hivsmobm","harrisburg",2017,28,"LD","Varsity LD","V"
"267","ndjsmmte","harrisburg",2017,24,"PF","Novice PF","N"
"268","lokscors","harrisburg",2017,40,"PF","Varsity PF","V"
"269","ihxwbztm","cfc",2017,9,"LD","Novice Lincoln-Douglas","N"
"270","oebnrzgu","cfc",2017,9,"LD","Varsity Lincoln-Douglas","V"
"271","hegcgoct","cfc",2017,11,"PF","Novice Public Forum","N"
"272","dzzviihz","cfc",2017,18,"PF","Varsity Public Forum","V"
"273","mohhpbnl","silver",2017,11,"LD","Novice LD","N"
"274","thquplsw","silver",2017,22,"LD","Varsity LD","V"
"275","msrwakaa","silver",2017,12,"PF","JV Public Forum","JV"
"276","exwzfczk","silver",2017,20,"PF","Novice Public Forum","N"
"277","ztjytclq","silver",2017,25,"PF","Varsity Public Forum","V"
"278","pguytmtg","cfc",2017,6,"LD","Novice Lincoln-Douglas","N"
"279","nxoumfvu","cfc",2017,9,"LD","Varsity Lincoln-Douglas","V"
"280","ectqvbje","cfc",2017,14,"PF","Novice Public Forum","N"
"281","beobbtnn","cfc",2017,19,"PF","Varsity Public Forum","V"
"282","epmfjtjv","cfc",2016,9,"LD","Novice Lincoln-Douglas","N"
"283","tnlmzdev","cfc",2016,7,"LD","Varsity Lincoln-Douglas","V"
"284","oxjkwfto","cfc",2016,14,"PF","Novice Public Forum","N"
"285","uozurxch","cfc",2016,14,"PF","Varsity Public Forum","V"
"286","mnhkgeac","novice",2016,5,"LD","Lincoln-Douglas","N"
"287","yjynuwos","novice",2016,21,"PF","Public Forum","N"
"288","zoglzpob","mcgov",2016,9,"LD","Novice Lincoln-Douglas","N"
"289","middlxxe","mcgov",2016,15,"LD","Varsity Lincoln-Douglas","V"
"290","cqtdvuxx","mcgov",2016,10,"PF","Junior Varsity Public Forum","JV"
"291","mzkdicml","mcgov",2016,27,"PF","Novice Public Forum","N"
"292","ernkcoqx","mcgov",2016,19,"PF","Varsity Public Forum","V"
"293","rhxzjeqd","novice",2016,28,"PF","Public Forum","N"
"294","toavjuyv","novice",2016,7,"LD","Lincoln-Douglas","N"
"295","kwtzkmfg","novice",2016,37,"PF","Public Forum","N"
"296","faluugkr","sweet",2016,18,"LD","Novice Lincoln Douglas","N"
"297","rjbzifea","sweet",2016,22,"LD","Varsity Lincoln Douglas","V"
"298","ctcqahhu","sweet",2016,31,"PF","Novice Public Forum","N"
"299","cfvsqilc","sweet",2016,40,"PF","Varsity Public Forum","V"
"300","eudrqvbs","novice",2016,9,"LD","Novice Lincoln Douglas Debate","N"
"301","xdnqakjn","novice",2016,34,"PF","Novice Public Forum","N"
"302","iciufkqn","harrisburg",2016,4,"LD","Novice LD","N"
"303","hoffnzyi","harrisburg",2016,33,"LD","Varsity LD","V"
"304","gobwuyra","harrisburg",2016,19,"PF","Novice PF","N"
"305","ozudhipg","harrisburg",2016,45,"PF","Varsity PF","V"
"306","viodahry","cfc",2016,5,"LD","Novice Lincoln-Douglas","N"
"307","wcvijgwe","cfc",2016,14,"LD","Varsity Lincoln-Douglas","V"
"308","iajauoge","cfc",2016,12,"PF","Novice Public Forum","N"
"309","kxklapvp","cfc",2016,21,"PF","Varsity Public Forum","V"
"310","vfthjbub","silver",2016,10,"LD","JV Lincoln-Douglas","JV"
"311","spajewqn","silver",2016,12,"LD","Novice LD","N"
"312","tvgedaeb","silver",2016,19,"LD","Varsity LD","V"
"313","zbnmfwcd","silver",2016,12,"PF","JV Public Forum","JV"
"314","lfflvmkk","silver",2016,20,"PF","Novice Public Forum","N"
"315","cjenebpg","silver",2016,23,"PF","Varsity Public Forum","V"
"316","odxgpypu","cfc",2016,4,"LD","Novice Lincoln-Douglas","N"
"317","nvevvcag","cfc",2016,10,"LD","Varsity Lincoln-Douglas","V"
"318","xodpjuij","cfc",2016,12,"PF","Novice Public Forum","N"
"319","omuxanew","cfc",2016,16,"PF","Varsity Public Forum","V"
"320","diddvmyr","bell",2015,10,"LD","Novice LD","N"
"321","wryuhhyy","bell",2015,19,"LD","Varsity LD","V"
"322","rwcvbkmf","bell",2015,15,"PF","JV Public Forum","JV"
"323","jylvsvre","bell",2015,21,"PF","Novice Public Forum","N"
"324","zczaocfh","bell",2015,21,"PF","Varsity Public Forum","V"
"325","lkfkdgqi","cfc",2015,8,"LD","Novice Lincoln-Douglas","N"
"326","sgpymrsk","cfc",2015,10,"LD","Varsity Lincoln-Douglas","V"
"327","jlynimml","cfc",2015,20,"PF","Novice Public Forum","N"
"328","zztpqdto","cfc",2015,17,"PF","Varsity Public Forum","V"
"329","pclliofr","novice",2015,4,"LD","Lincoln Douglas","N"
"330","oijjdjxt","novice",2015,51,"PF","Public Forum","N"
"331","rxowpgmg","novice",2015,6,"LD","Lincoln Douglas","N"
"332","zlckysde","novice",2015,26,"PF","Public Forum","N"
"333","xltnsykq","sweet",2015,22,"LD","Novice Lincoln Douglas","N"
"334","ktfioqsi","sweet",2015,34,"LD","Varsity Lincoln Douglas","V"
"335","iyqvgwmr","sweet",2015,30,"PF","Novice Public Forum","N"
"336","urtbcaaw","sweet",2015,30,"PF","Varsity Public Forum","V"
"337","afopbyyf","novice",2015,6,"LD","Novice Lincoln Douglas Debate","N"
"338","egalfgti","novice",2015,23,"PF","Novice Public Forum","N"
"339","irpnsnqv","silver",2015,7,"LD","JV LD","JV"
"340","bfsuxfnp","silver",2015,21,"LD","Novice LD","N"
"341","gsqvfjcd","silver",2015,19,"LD","Varsity LD","V"
"342","qfjkuavt","silver",2015,6,"PF","JV Public Forum","JV"
"343","zodvgpzp","silver",2015,13,"PF","Novice Public Forum","N"
"344","claanfwp","silver",2015,28,"PF","Varsity Public Forum","V"
