,tournament,year,participants,event,event_name
npwbhfuv,NORTHERN SOUTH DAKOTA DISTRICT TOURNAMENT,2021 — SD/US,10,LD,Lincoln Douglas
gohcybhd,NORTHERN SOUTH DAKOTA DISTRICT TOURNAMENT,2021 — SD/US,20,PF,Public Forum
fblhbhrl,THE RUSHMORE CHALLENGE,"2021 — Online, SD/US",12,LD,Novice LD
hovoomby,THE RUSHMORE CHALLENGE,"2021 — Online, SD/US",22,LD,Varsity LD
lddbtiaq,THE RUSHMORE CHALLENGE,"2021 — Online, SD/US",17,PF,Novice PF
dyfisiie,THE RUSHMORE CHALLENGE,"2021 — Online, SD/US",33,PF,Varsity PF
vcihtjzx,CENTRAL FORENSICS CONFERENCE 3,"2021 — Online, SD/US",7,LD,Novice Lincoln Douglas
eowqzvif,CENTRAL FORENSICS CONFERENCE 3,"2021 — Online, SD/US",7,LD,Varsity Lincoln Douglas
ydyicemb,CENTRAL FORENSICS CONFERENCE 3,"2021 — Online, SD/US",9,PF,Novice Public Forum
dprkuqgj,CENTRAL FORENSICS CONFERENCE 3,"2021 — Online, SD/US",15,PF,Varsity Public Forum
rlfamssy,LEWIS AND CLARK INVITATIONAL 2021,"2021 — Online, SD/US",12,LD,Novice Lincoln Douglas
dvwezwbv,LEWIS AND CLARK INVITATIONAL 2021,"2021 — Online, SD/US",20,LD,Varsity Lincoln Douglas
oaekmlxz,LEWIS AND CLARK INVITATIONAL 2021,"2021 — Online, SD/US",16,PF,Junior Varsity Public Forum
projeyln,LEWIS AND CLARK INVITATIONAL 2021,"2021 — Online, SD/US",28,PF,Novice Public Forum
wxsibpmw,LEWIS AND CLARK INVITATIONAL 2021,"2021 — Online, SD/US",27,PF,Varsity Public Forum
llexpiwp,2020 WATERTOWN SPEECH FIESTA,"2021 — Online, SD/US",8,LD,Novice Lincoln-Douglas
enfgrtzm,2020 WATERTOWN SPEECH FIESTA,"2021 — Online, SD/US",9,LD,Varsity Lincoln-Douglas
dojzxuok,2020 WATERTOWN SPEECH FIESTA,"2021 — Online, SD/US",24,PF,Novice Public Forum
kuokfzko,2020 WATERTOWN SPEECH FIESTA,"2021 — Online, SD/US",15,PF,Varsity Public Forum
pntwmwpd,LINCOLN SILVER BOWL,"2021 — Online, SD/US",9,LD,Novice LD
dfnchqcy,LINCOLN SILVER BOWL,"2021 — Online, SD/US",14,LD,Varsity LD
lviycqnk,LINCOLN SILVER BOWL,"2021 — Online, SD/US",8,PF,JV Public Forum
cpuyhdkk,LINCOLN SILVER BOWL,"2021 — Online, SD/US",19,PF,Novice Public Forum
qegzruql,LINCOLN SILVER BOWL,"2021 — Online, SD/US",14,PF,Varsity Public Forum
lkkoxlaz,SD CENTRAL FORENSICS CONFERENCE TOURNAMENT 2,"2021 — Online, SD/US",5,LD,Lincoln-Douglas
webgzmyx,SD CENTRAL FORENSICS CONFERENCE TOURNAMENT 2,"2021 — Online, SD/US",8,PF,Novice Public Forum
vaoyrort,SD CENTRAL FORENSICS CONFERENCE TOURNAMENT 2,"2021 — Online, SD/US",8,PF,Varsity Public Forum
mgyfzfgx,RAPID CITY STEVENS PENGUIN CLASSIC,"2021 — Online, SD/US",5,LD,JV Lincoln Douglas
jomchljz,RAPID CITY STEVENS PENGUIN CLASSIC,"2021 — Online, SD/US",11,LD,Varsity Lincoln Douglas
kfvpihpe,RAPID CITY STEVENS PENGUIN CLASSIC,"2021 — Online, SD/US",15,PF,Novice Public Forum
pcyhrbft,RAPID CITY STEVENS PENGUIN CLASSIC,"2021 — Online, SD/US",10,PF,Varsity Public Forum
dqkjokjd,BROOKINGS BELL,"2020 — ZRMS Brookings, SD/US",11,LD,Novice Lincoln Douglas
akwkkykd,BROOKINGS BELL,"2020 — ZRMS Brookings, SD/US",18,LD,Varsity Lincoln Douglas
kuadguie,BROOKINGS BELL,"2020 — ZRMS Brookings, SD/US",9,PF,JV Public Forum
qgypkpan,BROOKINGS BELL,"2020 — ZRMS Brookings, SD/US",33,PF,Novice Public Forum
gfpwuygs,BROOKINGS BELL,"2020 — ZRMS Brookings, SD/US",11,PF,Varsity Public Forum
atowiiph,EVERLASTING NOVICE INTERNATIONAL MEMORIAL CHAMPIONSHIP CLASSIC,"2020 — Online, SD/US",2,PF,Novice Public Forum
nzniitra,CENTRAL FORENSICS CONFERENCE 1,"2020 — Online, SD/US",3,LD,Novice Lincoln-Douglas
owpfghfa,CENTRAL FORENSICS CONFERENCE 1,"2020 — Online, SD/US",6,LD,Varsity Lincoln-Douglas
scqveyub,CENTRAL FORENSICS CONFERENCE 1,"2020 — Online, SD/US",11,PF,Novice Public Forum
qfvvndbb,CENTRAL FORENSICS CONFERENCE 1,"2020 — Online, SD/US",7,PF,Varsity Public Forum
dfnnkkzp,SOUTH DAKOTA NOVICE DEBATE TOURNAMENT 5 PF LD AND CONGRESS,"2020 — Online, SD/US",3,LD,Novice Lincoln Douglas
exchpnvv,SOUTH DAKOTA NOVICE DEBATE TOURNAMENT 5 PF LD AND CONGRESS,"2020 — Online, SD/US",25,PF,Novice Public Forum
jyncnmfh,SOUTH DAKOTA NOVICE DEBATE TOURNAMENT 4,"2020 — Online, SD/US",13,LD,Novice Lincoln Douglas
xifqaluq,SOUTH DAKOTA NOVICE DEBATE TOURNAMENT 4,"2020 — Online, SD/US",53,PF,Novice Public Forum
ddkgkyam,WASHINGTON WARRIOR INVITE NIETOC BID,"2020 — Sioux Falls - Online, SD/US",12,LD,Novice Lincoln-Douglas
edhwypsb,WASHINGTON WARRIOR INVITE NIETOC BID,"2020 — Sioux Falls - Online, SD/US",12,LD,Varsity Lincoln-Douglas
xfbgpubn,WASHINGTON WARRIOR INVITE NIETOC BID,"2020 — Sioux Falls - Online, SD/US",14,PF,JV Public Forum
jckgbxmm,WASHINGTON WARRIOR INVITE NIETOC BID,"2020 — Sioux Falls - Online, SD/US",23,PF,Novice Public Forum
yeqyzktd,WASHINGTON WARRIOR INVITE NIETOC BID,"2020 — Sioux Falls - Online, SD/US",14,PF,Varsity Public Forum
nlnljxbm,SOUTH DAKOTA NOVICE NIGHT 3,"2020 — Online, SD/US",5,LD,Lincoln-Douglas
yuekfvoo,SOUTH DAKOTA NOVICE NIGHT 3,"2020 — Online, SD/US",32,PF,Public Forum
ftsjflfi,SF ROOSEVELT SWEETSTAKES,"2020 — Online, SD/US",11,LD,Novice Lincoln-Douglas
lqzlkbcd,SF ROOSEVELT SWEETSTAKES,"2020 — Online, SD/US",14,LD,Varsity Lincoln-Douglas
zhnhodzr,SF ROOSEVELT SWEETSTAKES,"2020 — Online, SD/US",20,PF,Novice Public Forum
xmfrxlkl,SF ROOSEVELT SWEETSTAKES,"2020 — Online, SD/US",28,PF,Varsity Public Forum
cghniaxh,SFR AND SFL NOVICE TOURNAMENT,"2020 — Online, SD/US",15,LD,Lincoln-Douglas
