"","event","tournament","gender","pts","division","win","judge_gender","round","year"
"219","PF","cfc",NA,28,"N",0,1,"prelim",2016
"220","PF","cfc",0,28,"V",1,1,"prelim",2016
"221","PF","cfc",1,28,"N",1,1,"prelim",2016
"222","PF","cfc",1,24,"N",0,1,"prelim",2016
"223","PF","bell",0,24,"N",0,0,"prelim",2020
"224","PF","bell",1,24.5,"N",0,0,"prelim",2020
"225","PF","bell",1,28,"N",1,0,"prelim",2020
"226","PF","novice",0,25,"N",0,1,"prelim",2021
"227","PF","novice",1,25,"N",0,1,"prelim",2021
"228","PF","novice",1,30,"N",1,1,"prelim",2021
"229","PF","novice",0,27,"N",0,1,"prelim",2021
"230","PF","warrior",1,27,"V",0,1,"prelim",2020
"231","PF","silver",1,29,"JV",1,1,"prelim",2016
"232","PF","harrisburg",0,24,"V",0,1,"prelim",2020
"233","PF","silver",1,27,"V",0,1,"prelim",2021
"234","PF","silver",0,25,"JV",0,1,"prelim",2021
"235","PF","bell",1,25,"N",0,1,"prelim",2020
"236","PF","warrior",1,29,"V",0,1,"prelim",2020
"237","PF","silver",0,26,"JV",1,1,"prelim",2021
"238","PF","harrisburg",NA,26,"V",0,1,"prelim",2020
"239","PF","harrisburg",0,27,"V",1,1,"prelim",2020
"240","PF","silver",0,28,"N",1,1,"prelim",2016
"241","PF","silver",1,28,"N",1,1,"prelim",2016
"242","PF","bell",0,25,"N",0,1,"prelim",2020
"244","PF","harrisburg",NA,29,"V",0,1,"prelim",2017
"245","PF","harrisburg",1,27,"N",1,1,"prelim",2016
"247","PF","harrisburg",1,28,"V",0,1,"prelim",2016
"248","PF","silver",1,29,"JV",1,1,"prelim",2018
"249","PF","silver",1,29,"N",1,1,"prelim",2018
"250","PF","harrisburg",1,29,"V",0,1,"prelim",2017
"252","PF","harrisburg",0,27,"V",0,1,"prelim",2016
"253","PF","silver",0,27,"JV",0,1,"prelim",2018
"254","PF","harrisburg",NA,28,"N",1,1,"prelim",2017
"258","PF","silver",0,30,"V",1,1,"prelim",2018
"259","PF","harrisburg",1,28,"N",1,1,"prelim",2016
"264","PF","novice",0,NA,"N",1,1,"prelim",2015
"265","PF","novice",NA,NA,"N",0,1,"prelim",2015
"266","PF","novice",1,NA,"N",1,1,"prelim",2015
"267","PF","cfc",1,28,"N",1,1,"prelim",2016
"268","PF","yankton",1,26.9,"N",0,1,"prelim",2021
"269","PF","cfc",1,28,"N",0,1,"prelim",2016
"270","PF","novice",1,NA,"N",0,1,"prelim",2015
"271","PF","novice",1,29,"N",0,1,"prelim",2015
"273","PF","harrisburg",1,24,"N",0,1,"prelim",2017
"274","PF","fiesta",1,28,"V",1,1,"prelim",2022
"276","PF","fiesta",1,28,"V",1,1,"prelim",2022
"277","PF","sweet",1,29.8,"V",1,1,"prelim",2017
"278","PF","sweet",0,29.8,"V",1,1,"prelim",2017
"279","PF","harrisburg",0,27,"N",1,1,"prelim",2017
"282","PF","harrisburg",0,27,"V",0,1,"prelim",2017
"283","PF","harrisburg",1,26,"V",0,1,"prelim",2017
"284","PF","sweet",1,29.9,"V",1,1,"prelim",2017
"286","PF","harrisburg",0,29,"V",1,1,"prelim",2017
"288","PF","harrisburg",NA,27,"N",0,1,"prelim",2017
"289","PF","harrisburg",1,NA,"N",0,1,"prelim",2017
"290","PF","harrisburg",0,25,"V",0,1,"prelim",2017
"291","PF","sweet",1,25,"V",0,1,"prelim",2016
"292","PF","sweet",1,27,"V",1,1,"prelim",2016
"293","PF","sweet",1,28,"V",1,1,"prelim",2016
"294","PF","sweet",0,27,"V",0,1,"prelim",2016
"295","PF","sweet",1,24,"V",0,1,"prelim",2016
"300","PF","harrisburg",1,29.1,"V",1,1,"prelim",2022
"306","PF","sweet",1,28.2,"JV",1,1,"prelim",2021
"308","PF","harrisburg",0,27.3,"V",0,1,"prelim",2022
"310","PF","harrisburg",1,25.7,"JV",0,1,"prelim",2022
"311","PF","harrisburg",NA,28,"JV",1,1,"prelim",2022
"312","PF","sweet",0,27.2,"JV",0,1,"prelim",2021
"313","PF","yankton",0,27.6,"JV",0,1,"prelim",2021
"314","PF","yankton",0,27.8,"V",0,1,"prelim",2021
"315","PF","gec",0,NA,"V",0,0,"prelim",2021
"316","PF","silver",0,28,"JV",1,0,"prelim",2021
"317","PF","novice",0,25,"N",0,0,"prelim",2018
"318","PF","gec",1,NA,"V",1,0,"prelim",2021
"319","PF","silver",1,27,"V",1,0,"prelim",2021
"320","PF","novice",1,25,"N",0,0,"prelim",2018
"321","PF","warrior",1,29,"V",0,0,"prelim",2020
"322","PF","bell",1,27.5,"N",1,0,"prelim",2020
"323","PF","jeff",0,28,"V",0,0,"prelim",2021
"324","PF","jeff",1,28,"N",0,0,"prelim",2021
